item,qta
Augmented Concentration Techniques,1
Augmented Sacred Talisman,1
Augmented Vigor Charm,1
Augmented Witch's Shawl,1
Augmented Adamantium,15
Augmented Adaptive Pathogens,56
Augmented Alien Spores,36
Augmented Alpha Flight Cyphers,456
Augmented Anodized Interface,1
Augmented Arcane Magic,7
Augmented Arcane Powder,1093
Augmented Arm Strength Formula,1
Augmented Armor Catalyst Part,5876
Augmented Ballistic Weave,33
Augmented Basic Catalyst Part,16.6K
Augmented Bloodborne Nanobots,26
Augmented Carbonadium,28
Augmented Celestial Lattice,168
Augmented Chaotic Ribosomes,23
Augmented Charged Particles,1779
Augmented Confidential Dossiers,1627
Augmented Crippling Strikes,1
Augmented Cytoplasm,209
Augmented Damage Catalyst Part,5940
Augmented Enchanted Talisman,1
Augmented Encoded Data,62
Augmented Esoteric Glyphs,686
Augmented Experimental Formula,31
Augmented Focus Catalyst Part,2870
Augmented Focused Chi,32
Augmented Fortified Chromium,7
Augmented Gamma Radiation,20
Augmented Gravitonium,37
Augmented H.A.M.M.E.R. Tech,19
Augmented Health Catalyst Part,3963
Augmented Infinite Energy,27
Augmented Isochronal Compound,121
Augmented Isomer,2564
Augmented Judas Bullets,32
Augmented Laser Torch,1941
Augmented Life Charm,1
Augmented Locked Case,1884
Augmented Luminium,23
Augmented Marrow Extract,531
Augmented Metabolic Enhancers,137
Augmented Miasma,16
Augmented Microdot,65
Augmented Molecular Cloth,38
Augmented Molecular Scan,355
Augmented MRI,1371
Augmented Mutant Damage Catalyst,15
Augmented Mutant Focus Catalyst,15
Augmented Mutant Health Catalyst,15
Augmented Mythic Geode,24
Augmented Nanites,394
Augmented Omega Viroid,1
Augmented Omnium Ore,102
Augmented Palladium,26
Augmented Performance Tracker,365
Augmented Phosphates,1574
Augmented Phrenic Stimulant,3
Augmented Phytonutrients,8
Augmented Pressurized Tank,64
Augmented Promethium,42
Augmented Quantum Energy,9
Augmented Resistance Catalyst Part,5067
Augmented S.H.I.E.L.D. Tech,44
Augmented Secret Intel,2566
Augmented Self Defense Maneuvers,2
Augmented Shoggoth Ichor,211
Augmented Sigil,16
Augmented Spectral Analysis,80
Augmented Spine Augmentation,2
Augmented Spliced X-Gene,768
Augmented Superhuman Serum,28
Augmented Syringe,79
Augmented Tachyon Conductor,543
Augmented Targeting Techniques,1
Augmented Tempered Osmium,4
Augmented Titanium Alloy,30
Augmented Unstable Cloth,29
Augmented Unstable Molecules,2343
Augmented Uru,86
Augmented Vial,330
Augmented Vibranium,52
Augmented Vitality Regimen,2
Augmented X-Gene,37
Superior Bonded Antigens,1
Superior Calcified Membrane,4
Superior Combat Baton,1
Superior Curative Charm,1
Superior Experimental Genome,1
Superior Heart Augmentation,1
Superior Precision Techniques,6
Superior Heimdall's Helmet,1
Superior Adamantium,123
Superior Adaptive Pathogens,75
Superior Alien Spores,208
Superior Alpha Flight Cyphers,323
Superior Arcane Magic,242
Superior Arcane Powder,821
Superior Armor Catalyst Part,9194
Superior Astral Energy,102
Superior Ballistic Weave,208
Superior Basic Catalyst Part,33K
Superior Biopolymers,247
Superior Bloodborne Nanobots,185
Superior Carbonadium,102
Superior Celestial Lattice,78
Superior Chaotic Ribosomes,926
Superior Charged Particles,2259
Superior Confidential Dossiers,1727
Superior Cytoplasm,1683
Superior Damage Catalyst Part,10.6K
Superior Dargonite,585
Superior Encoded Data,882
Superior Esoteric Glyphs,1617
Superior Experimental Formula,117
Superior Focus Catalyst Part,1719
Superior Focused Chi,130
Superior Fortified Chromium,114
Superior Gamma Radiation,222
Superior Gravitonium,101
Superior H.A.M.M.E.R. Tech,175
Superior Health Catalyst Part,6754
Superior Hyperphage,701
Superior Infinite Energy,111
Superior Isochronal Compound,108
Superior Isomer,2969
Superior Judas Bullets,205
Superior Laser Torch,2180
Superior Locked Case,1951
Superior Luminium,180
Superior Marrow Extract,263
Superior Metabolic Enhancers,1343
Superior Miasma,106
Superior Microdot,477
Superior Molecular Cloth,86
Superior Molecular Scan,137
Superior MRI,3140
Superior Mythic Geode,282
Superior Nanites,344
Superior Omnium Ore,775
Superior Palladium,106
Superior Performance Tracker,157
Superior Phosphates,3303
Superior Phytonutrients,90
Superior Pressurized Tank,602
Superior Promethium,186
Superior Psionic Essence,256
Superior Quantum Energy,160
Superior Remote Access Codes,489
Superior Resistance Catalyst Part,13.8K
Superior S.H.I.E.L.D. Tech,149
Superior Secret Intel,1547
Superior Shoggoth Ichor,223
Superior Sigil,905
Superior Spectral Analysis,573
Superior Spliced X-Gene,987
Superior Superhuman Serum,86
Superior Syringe,1089
Superior Tachyon Conductor,608
Superior Tempered Osmium,137
Superior Titanium Alloy,158
Superior Unstable Cloth,147
Superior Unstable Molecules,1165
Superior Uru,248
Superior Vial,1466
Superior Vibranium,102
Advanced Laser Scope,1
Advanced Nanobionic Systems,2
Advanced Adamantium,166
Advanced Alien Spores,174
Advanced Arcane Magic,212
Advanced Arcane Powder,456
Advanced Armor Catalyst Part,7862
Advanced Astral Energy,152
Advanced Ballistic Weave,148
Advanced Basic Catalyst Part,31.6K
Advanced Bloodborne Nanobots,274
Advanced Carbonadium,100
Advanced Chaotic Ribosomes,580
Advanced Charged Particles,1025
Advanced Close Combat Tactics,867
Advanced Confidential Dossiers,1423
Advanced Cytoplasm,1124
Advanced Damage Catalyst Part,10.7K
Advanced Encoded Data,1948
Advanced Esoteric Glyphs,765
Advanced Experimental Formula,127
Advanced Focus Catalyst Part,6612
Advanced Focused Chi,152
Advanced Fortified Chromium,18
Advanced Gamma Radiation,166
Advanced Gravitonium,146
Advanced H.A.M.M.E.R. Tech,286
Advanced Health Catalyst Part,11.8K
Advanced Infinite Energy,158
Advanced Isomer,967
Advanced Judas Bullets,178
Advanced Laser Torch,1245
Advanced Locked Case,2335
Advanced Luminium,240
Advanced Metabolic Enhancers,993
Advanced Miasma,156
Advanced Molecular Cloth,154
Advanced Morphic Peptides,1475
Advanced MRI,1215
Advanced Omnium Ore,1194
Advanced Palladium,228
Advanced Parchment,1059
Advanced Phosphates,989
Advanced Promethium,129
Advanced Quantum Energy,182
Advanced Resistance Catalyst Part,12.1K
Advanced S.H.I.E.L.D. Tech,164
Advanced Secret Intel,1242
Advanced Sigil,549
Advanced Silicon Matrix,1059
Advanced Spliced X-Gene,751
Advanced Superhuman Serum,196
Advanced Syringe,1028
Advanced Tempered Osmium,172
Advanced Titanium Alloy,144
Advanced Unstable Cloth,134
Advanced Unstable Molecules,569
Advanced Uru,197
Advanced Vial,701
Advanced Vibranium,207
Advanced X-Rays,1261
Improved Agility Conditioning,3
Improved Biofeedback Systems,2
Improved Concentration Techniques,1
Improved Deadly Strikes,2
Improved Immunity Regimen,2
Improved Prototype Ordnance,1
Improved Reactive Plating,2
Improved Strengthening Maneuvers,3
Improved Analytic Systems,2
Improved Black Market Ordnance,2
Improved Bladed Strikes,2
Improved Ceramic Plating,2
Improved Cranial Interface,2
Improved Decryption Techniques,1
Improved Evasive Maneuvers,3
Improved Fitness Regimen,2
Improved Resilience Conditioning,7
Improved Thermal Scope,3
Improved Arcane Powder,339
Improved Armor Catalyst Part,3098
Improved Basic Catalyst,19.6K
Improved Chaotic Ribosomes,612
Improved Charged Particles,811
Improved Close Combat Tactics,1069
